DATE,MINS.IN.HOLT,Count of EXIT.FROM.REST,SCENT,YEAR,CHECK.ID,DAYS.SINCE.CHECK,FUNCTION,MIN.GRP.SIZE,rest
27/11/2009,1,,0,2009,40143,1,N,1,0
28/11/2009,1,,0,2009,40143,2,N,1,0
29/11/2009,700,1,0,2009,40143,3,N,1,1
30/11/2009,700,1,0,2009,40143,4,N,1,1
01/12/2009,700,3,0,2009,40143,5,N,3,1
02/12/2009,263,,0,2009,40143,6,N,1,1
03/12/2009,700,1,0,2009,40143,7,N,1,1
04/12/2009,496,1,0,2009,40151,0,N,2,1
05/12/2009,700,2,0,2009,40151,1,N,2,1
06/12/2009,700,1,0,2009,40151,2,N,1,1
07/12/2009,700,1,0,2009,40151,3,N,1,1
08/12/2009,700,2,0,2009,40151,4,N,2,1
09/12/2009,1,,0,2009,40151,5,N,1,0
10/12/2009,1,,0,2009,40151,6,N,1,0
11/12/2009,700,2,0,2009,40151,7,N,2,1
12/12/2009,1,,0,2009,40151,8,N,1,0
13/12/2009,1,,0,2009,40151,9,N,1,0
14/12/2009,700,1,0,2009,40151,10,N,1,1
15/12/2009,700,1,0,2009,40151,11,N,1,1
16/12/2009,1046,,0,2009,40151,12,N,2,1
17/12/2009,940,,0,2009,40151,13,N,1,1
18/12/2009,0,,0,2009,40152,13,N,0,0
19/12/2009,700,1,0,2009,40166,0,N,1,1
20/12/2009,1,,0,2009,40166,1,N,1,0
21/12/2009,700,2,0,2009,40166,2,N,2,1
22/12/2009,700,2,0,2009,40166,3,N,2,1
23/12/2009,843,,0,2009,40166,4,N,1,1
24/12/2009,121,2,0,2009,40166,5,N,2,1
25/12/2009,1,,0,2009,40166,6,N,1,0
26/12/2009,1,,0,2009,40166,7,N,1,0
27/12/2009,700,4,0,2009,40166,8,N,4,1
28/12/2009,1,,1,2009,40166,9,N,2,0
29/12/2009,700,1,0,2009,40166,10,N,1,1
30/12/2009,481,,0,2009,40166,11,N,1,1
31/12/2009,808,,0,2009,40166,12,N,2,1
01/01/2010,700,2,0,2010,40166,13,N,2,1
02/01/2010,1,,0,2010,40166,14,N,1,0
03/01/2010,700,1,0,2010,40166,15,N,1,1
04/01/2010,333,,0,2010,40166,16,N,2,1
05/01/2010,1,,0,2010,40166,17,ER,2,0
06/01/2010,874,1,0,2010,40166,18,ER,3,1
07/01/2010,724,2,1,2010,40166,19,ER,3,1
08/01/2010,1,,0,2010,40166,20,ER,3,0
09/01/2010,700,1,0,2010,40166,21,ER,3,1
10/01/2010,314,,0,2010,40166,22,ER,3,1
11/01/2010,700,1,0,2010,40166,23,ER,3,1
12/01/2010,1,,0,2010,40190,0,ER,3,0
13/01/2010,700,3,0,2010,40190,1,ER,3,1
14/01/2010,700,1,0,2010,40190,2,ER,3,1
15/01/2010,791,1,1,2010,40190,3,ER,4,1
16/01/2010,700,1,0,2010,40190,4,ER,3,1
17/01/2010,1,,0,2010,40190,5,ER,3,0
18/01/2010,700,1,1,2010,40190,6,ER,3,1
19/01/2010,1,,0,2010,40190,7,ER,3,0
20/01/2010,71,,0,2010,40190,8,ER,1,1
21/01/2010,700,1,0,2010,40190,9,ER,1,1
22/01/2010,0,,0,2010,40200,0,ER,0,0
24/01/2010,0,,0,2010,40200,2,ER,0,0
25/01/2010,0,,0,2010,40200,3,ER,0,0
26/01/2010,747,2,0,2010,40200,4,ER,2,1
27/01/2010,2,,0,2010,40200,5,ER,1,0
28/01/2010,360,,0,2010,40200,6,ER,1,1
29/01/2010,1200,,0,2010,40200,7,ER,1,1
30/01/2010,107,,0,2010,40200,8,ER,1,1
31/01/2010,0,,0,2010,40200,9,ER,0,0
01/02/2010,0,,0,2010,40200,10,ER,0,0
02/02/2010,799,,0,2010,40200,11,ER,1,1
03/02/2010,0,,0,2010,40200,12,ER,0,0
04/02/2010,0,,0,2010,40200,13,ER,0,0
05/02/2010,0,,0,2010,40200,14,ER,0,0
06/02/2010,780,,0,2010,40200,15,ER,1,1
07/02/2010,852,,0,2010,40200,16,ER,1,1
08/02/2010,0,,0,2010,40217,0,ER,0,0
09/02/2010,1,,1,2010,40217,1,ER,2,0
10/02/2010,1,,0,2010,40217,2,ER,2,0
11/02/2010,0,,0,2010,40217,3,ER,0,0
12/02/2010,0,,0,2010,40217,4,ER,0,0
13/02/2010,0,,0,2010,40217,5,ER,0,0
14/02/2010,0,,0,2010,40217,6,ER,0,0
15/02/2010,700,2,0,2010,40217,7,ER,2,1
16/02/2010,796,,0,2010,40217,8,ER,1,1
17/02/2010,1,,0,2010,40217,9,ER,2,0
18/02/2010,979,,0,2010,40217,10,ER,1,1
19/02/2010,804,,0,2010,40217,11,ER,1,1
20/02/2010,849,,0,2010,40217,12,ER,1,1
21/02/2010,0,,0,2010,40217,13,ER,0,0
22/02/2010,820,,0,2010,40231,0,ER,2,1
23/02/2010,859,,0,2010,40231,1,ER,1,1
24/02/2010,846,,0,2010,40231,2,ER,1,1
25/02/2010,825,,0,2010,40231,3,ER,1,1
26/02/2010,825,,0,2010,40231,4,ER,1,1
27/02/2010,83,,0,2010,40231,5,ER,2,1
28/02/2010,781,,0,2010,40231,6,ER,1,1
01/03/2010,0,,0,2010,40231,7,ER,0,0
02/03/2010,0,,0,2010,40231,8,ER,0,0
03/03/2010,917,,0,2010,40231,9,ER,1,1
04/03/2010,874,,0,2010,40231,10,ER,1,1
05/03/2010,1,,0,2010,40231,11,ER,1,0
06/03/2010,0,,0,2010,40231,12,ER,0,0
07/03/2010,822,,0,2010,40244,0,MR,1,1
08/03/2010,805,,0,2010,40244,1,MR,1,1
09/03/2010,827,,0,2010,40244,2,MR,1,1
10/03/2010,14,3,0,2010,40244,3,MR,3,0
11/03/2010,1,,0,2010,40248,0,MR,1,0
12/03/2010,69,,0,2010,40248,1,MR,1,1
13/03/2010,941,1,0,2010,40248,2,MR,1,1
14/03/2010,0,,0,2010,40248,3,MR,0,0
15/03/2010,1,,0,2010,40248,4,MR,1,0
16/03/2010,0,,0,2010,40248,5,MR,0,0
17/03/2010,1,,1,2010,40248,6,MR,1,0
18/03/2010,772,,0,2010,40248,7,MR,1,1
19/03/2010,853,,1,2010,40248,8,MR,1,1
20/03/2010,0,,0,2010,40248,9,MR,0,0
21/03/2010,0,,0,2010,40248,10,MR,0,0
22/03/2010,0,,0,2010,40248,11,MR,0,0
23/03/2010,1,,0,2010,40248,12,MR,1,0
24/03/2010,0,,0,2010,40248,13,MR,0,0
26/03/2010,1,,0,2010,40262,1,MR,1,0
27/03/2010,815,,0,2010,40262,2,MR,1,1
28/03/2010,842,,0,2010,40262,3,MR,1,1
30/03/2010,700,2,0,2010,40262,5,MR,2,1
31/03/2010,585,,0,2010,40262,6,MR,1,1
01/04/2010,0,,0,2010,40269,0,MR,0,0
02/04/2010,0,,0,2010,40269,1,MR,0,0
03/04/2010,1,,0,2010,40269,2,MR,1,0
04/04/2010,1,,0,2010,40269,3,MR,1,0
05/04/2010,1,,0,2010,40269,4,MR,1,0
