CODE,EVENT.PASS,SINGLE.CAM,MOVEMENT,CAM.FUNCT,DUAL.PRESENCE,SINGLE.RECORDED,WET.DRY,TEMPERATURE,DATE,TIME,D.COUNT,S.COUNT,D.AD.COUNT,S.AD.COUNT,D.SEX,D.AD.SEX,S.AD.SEX,D.SPRAINT,S.SPRAINT,D.VOCAL,S.VOCAL,D.BEDDING,S.BEDDING,D.PLAY,S.PLAY,D.LOAF,S.LOAF,D.GROOMROLL,S.GROOMROLL,D.BEH.COUNT,S.BEH.COUNT
F1.171,1,CLOSE,IN,y,1,1,U,5,04/05/2012,03:57,1,1,1,1,M,M,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.171,1,ROSE,IN,y,1,1,U,5,04/05/2012,03:57,1,1,1,1,M,M,M,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.742,2,ROSE,OUT,y,1,1,D,3,15/12/2012,17:36,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.742,2,CLOSE,OUT,y,1,1,D,3,15/12/2012,17:36,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.217,3,ROSE,TU,TU,1,0,U,6,16/03/2012,02:06,1,0,1,0,U,U,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.217,3,CLOSE,OUT,y,1,1,W,6,16/03/2012,02:06,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.831,4,ROSE,IN,y,1,1,U,-7,25/03/2011,05:23,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.831,4,CLOSE,TU,TU,1,0,U,-7,25/03/2011,05:23,1,0,1,0,U,U,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.102,5,ROSE,OUT,y,1,1,D,6,12/04/2014,19:25,3,1,1,1,F,F,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0
F1.102,5,CLOSE,OUT,y,1,1,D,6,12/04/2014,19:25,3,3,1,1,F,F,F,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.799,6,ROSE,IN,y,1,1,U,10,06/04/2011,00:32,3,3,1,1,F,F,F,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.799,6,CLOSE,IN,y,1,1,U,10,06/04/2011,00:32,3,3,1,1,F,F,F,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.818,7,ROSE,IN,y,1,1,U,5,14/04/2011,23:35,1,1,1,1,U,U,U,0,0,1,1,0,0,0,0,0,0,0,0,1,1
F1.818,7,CLOSE,TU,TU,1,0,U,5,14/04/2011,23:35,1,0,1,0,U,U,U,0,0,1,0,0,0,0,0,0,0,0,0,1,0
F1.265,8,ROSE,IN,y,1,1,U,1,21/02/2014,04:40,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.265,8,CLOSE,IN,y,1,1,W,1,21/02/2014,04:40,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.766,9,ROSE,OUT,y,1,1,U,12,03/05/2011,19:50,3,3,1,1,F,F,F,0,0,1,1,0,0,0,0,0,0,0,0,1,1
F1.766,9,CLOSE,OUT,y,1,1,D,12,03/05/2011,19:50,3,3,1,1,F,F,F,0,0,1,0,0,0,0,0,0,0,0,0,1,0
F1.125,10,ROSE,IN,y,1,1,U,3,02/02/2014,18:29,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.125,10,CLOSE,IN,y,1,1,U,3,02/02/2014,18:29,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.85,11,ROSE,IN,y,1,1,W,5,25/04/2014,04:20,2,2,NA,NA,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.85,11,CLOSE,IN,y,1,1,U,5,25/04/2014,04:20,2,2,NA,NA,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.150,12,ROSE,TU,TU,1,0,U,1,17/01/2014,03:32,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.150,12,CLOSE,OUT,y,1,1,U,1,17/01/2014,03:32,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1699,13,ROSE,IN,y,1,1,U,0,12/02/2015,06:10,1,1,1,1,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.1699,13,CLOSE,IN,y,1,1,U,0,12/02/2015,06:10,1,1,1,1,U,U,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0
F1.653,14,ROSE,OUT,y,1,1,U,9,17/06/2012,20:26,2,1,1,1,F,F,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0
F1.653,14,CLOSE,OUT,y,1,1,D,9,17/06/2012,20:26,2,2,1,1,F,F,F,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.583,15,ROSE,IN.OUT,y,1,1,U,5,27/02/2012,03:06,1,1,1,1,U,U,U,0,0,1,0,0,0,0,0,0,0,0,0,1,0
F1.583,15,CLOSE,IN.OUT,y,1,1,U,5,27/02/2012,03:06,1,1,1,1,U,U,U,0,0,1,1,0,0,0,0,0,0,0,0,1,1
F1.768,16,CLOSE,IN,y,1,1,W,5,10/05/2011,06:34,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.768,16,ROSE,IN,y,1,1,W,5,10/05/2011,06:34,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.476,17,CLOSE,IN,y,1,1,W,0,22/01/2013,20:34,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.476,17,ROSE,IN,y,1,1,U,0,22/01/2013,20:34,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.583,18,CLOSE,IN.OUT,y,1,1,U,5,27/02/2012,03:06,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.583,18,ROSE,IN.OUT,y,1,1,U,5,27/02/2012,03:06,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1787,19,CLOSE,BEDDING,y,1,1,D,0,30/03/2015,00:35,1,1,1,1,U,U,U,0,0,0,0,1,1,0,0,0,0,0,0,1,1
F1.1787,19,ROSE,OUT,y,1,1,U,0,30/03/2015,00:35,1,1,1,1,U,U,U,0,0,0,0,1,0,0,0,0,0,0,0,1,0
F1.873,20,CLOSE,IN,y,1,1,U,4,24/02/2011,04:24,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.873,20,ROSE,IN,y,1,1,U,4,24/02/2011,04:24,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.765,21,CLOSE,IN,y,1,1,W,-3,03/05/2011,05:21,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.765,21,ROSE,IN,y,1,1,U,-3,03/05/2011,05:21,3,2,1,1,F,F,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.6,22,CLOSE,IN,y,1,1,U,-3,26/03/2014,04:25,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
