EVENT,LAST.EVENT,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,SCENT.AR,SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS
28/11/2009,27/11/2009,1,0,0,,,,,2,N,1
29/11/2009,28/11/2009,1,0,0,,1,,,3,N,1
30/11/2009,29/11/2009,1,0,0,,1,,,4,N,1
01/12/2009,30/11/2009,1,0,0,,1,,,5,N,1
02/12/2009,01/12/2009,1,263,0,,,,,6,N,1
03/12/2009,02/12/2009,1,0,0,,1,,,7,N,1
04/12/2009,03/12/2009,1,496,0,,1,,,0,N,1
05/12/2009,04/12/2009,1,0,0,,1,,,1,N,1
06/12/2009,05/12/2009,1,0,0,,1,,,2,N,1
07/12/2009,06/12/2009,1,0,0,,1,,,3,N,1
08/12/2009,07/12/2009,1,0,0,,1,,,4,N,1
09/12/2009,08/12/2009,1,0,0,,,,,5,N,1
10/12/2009,09/12/2009,1,0,0,,,,,6,N,1
11/12/2009,10/12/2009,1,0,0,,1,,,7,N,1
12/12/2009,11/12/2009,1,0,0,,,,,8,N,1
13/12/2009,12/12/2009,1,0,0,,,,,9,N,1
14/12/2009,13/12/2009,1,0,0,,1,,,10,N,1
15/12/2009,14/12/2009,1,0,0,,1,,,11,N,1
16/12/2009,15/12/2009,1,1046,0,,,,,12,N,1
17/12/2009,16/12/2009,1,940,0,,,,,13,N,1
19/12/2009,17/12/2009,2,0,0,,1,,,0,N,1
20/12/2009,19/12/2009,1,0,0,,,,,1,N,1
21/12/2009,20/12/2009,1,0,0,,1,,,2,N,1
22/12/2009,21/12/2009,1,0,0,,1,,,3,N,1
23/12/2009,22/12/2009,1,843,0,,,,,4,N,1
24/12/2009,23/12/2009,1,121,0,,1,,,5,N,1
25/12/2009,24/12/2009,1,0,0,,,,,6,N,1
26/12/2009,25/12/2009,1,0,0,,,,,7,N,1
27/12/2009,26/12/2009,1,0,0,,1,,,8,N,1
28/12/2009,27/12/2009,1,0,0,,,1,,9,N,1
29/12/2009,28/12/2009,1,0,0,,1,,,10,N,1
30/12/2009,29/12/2009,1,481,0,,,,,11,N,1
31/12/2009,30/12/2009,1,808,0,,,,,12,N,1
01/01/2010,31/12/2009,1,0,0,,1,,,13,N,1
02/01/2010,01/01/2010,1,0,0,,,,,14,N,1
