EVENT,Date,Time,Easting,Northing,Status,Month,Year
27/11/2009 17:23,27/11/2009,17:23,313350,691976,N,November,2009
28/11/2009 04:48,28/11/2009,04:48,313350,691976,N,November,2009
29/11/2009 07:22,29/11/2009,07:22,313350,691976,N,November,2009
29/11/2009 17:51,29/11/2009,17:51,313350,691976,N,November,2009
30/11/2009 06:35,30/11/2009,06:35,313350,691976,N,November,2009
30/11/2009 13:20,30/11/2009,13:20,313350,691976,N,November,2009
30/11/2009 17:59,30/11/2009,17:59,313350,691976,N,November,2009
01/12/2009 09:11,01/12/2009,09:11,313350,691976,N,December,2009
01/12/2009 09:42,01/12/2009,09:42,313350,691976,N,December,2009
01/12/2009 17:56,01/12/2009,17:56,313350,691976,N,December,2009
01/12/2009 18:23,01/12/2009,18:23,313350,691976,N,December,2009
02/12/2009 12:28,02/12/2009,12:28,313350,691976,N,December,2009
02/12/2009 16:51,02/12/2009,16:51,313350,691976,N,December,2009
03/12/2009 17:18,03/12/2009,17:18,313350,691976,N,December,2009
04/12/2009 00:02,04/12/2009,00:02,313350,691976,N,December,2009
04/12/2009 08:18,04/12/2009,08:18,313350,691976,N,December,2009
04/12/2009 10:05,04/12/2009,10:05,313350,691976,N,December,2009
04/12/2009 17:50,04/12/2009,17:50,313350,691976,N,December,2009
04/12/2009 18:55,04/12/2009,18:55,313350,691976,N,December,2009
05/12/2009 07:50,05/12/2009,07:50,313350,691976,N,December,2009
05/12/2009 17:11,05/12/2009,17:11,313350,691976,N,December,2009
05/12/2009 17:47,05/12/2009,17:47,313350,691976,N,December,2009
06/12/2009 16:31,06/12/2009,16:31,313350,691976,N,December,2009
07/12/2009 16:50,07/12/2009,16:50,313350,691976,N,December,2009
08/12/2009 05:05,08/12/2009,05:05,313350,691976,N,December,2009
08/12/2009 16:29,08/12/2009,16:29,313350,691976,N,December,2009
08/12/2009 17:57,08/12/2009,17:57,313350,691976,N,December,2009
09/12/2009 12:21,09/12/2009,12:21,313350,691976,N,December,2009
10/12/2009 11:30,10/12/2009,11:30,313350,691976,N,December,2009
11/12/2009 06:56,11/12/2009,06:56,313350,691976,N,December,2009
11/12/2009 08:53,11/12/2009,08:53,313350,691976,N,December,2009
11/12/2009 17:35,11/12/2009,17:35,313350,691976,N,December,2009
11/12/2009 17:54,11/12/2009,17:54,313350,691976,N,December,2009
12/12/2009 09:19,12/12/2009,09:19,313350,691976,N,December,2009
13/12/2009 08:27,13/12/2009,08:27,313350,691976,N,December,2009
13/12/2009 17:40,13/12/2009,17:40,313350,691976,N,December,2009
14/12/2009 07:27,14/12/2009,07:27,313350,691976,N,December,2009
14/12/2009 17:51,14/12/2009,17:51,313350,691976,N,December,2009
15/12/2009 17:11,15/12/2009,17:11,313350,691976,N,December,2009
15/12/2009 20:30,15/12/2009,20:30,313350,691976,N,December,2009
16/12/2009 05:04,16/12/2009,05:04,313350,691976,N,December,2009
16/12/2009 07:08,16/12/2009,07:08,313350,691976,N,December,2009
16/12/2009 17:20,16/12/2009,17:20,313350,691976,N,December,2009
17/12/2009 00:34,17/12/2009,00:34,313350,691976,N,December,2009
17/12/2009 15:45,17/12/2009,15:45,313350,691976,N,December,2009
17/12/2009 23:26,17/12/2009,23:26,313350,691976,N,December,2009
18/12/2009 15:06,18/12/2009,15:06,313350,691976,N,December,2009
19/12/2009 16:03,19/12/2009,16:03,313350,691976,N,December,2009
20/12/2009 15:51,20/12/2009,15:51,313350,691976,N,December,2009
21/12/2009 07:40,21/12/2009,07:40,313350,691976,N,December,2009
21/12/2009 15:58,21/12/2009,15:58,313350,691976,N,December,2009
21/12/2009 19:11,21/12/2009,19:11,313350,691976,N,December,2009
22/12/2009 01:19,22/12/2009,01:19,313350,691976,N,December,2009
22/12/2009 06:17,22/12/2009,06:17,313350,691976,N,December,2009
22/12/2009 16:24,22/12/2009,16:24,313350,691976,N,December,2009
22/12/2009 16:54,22/12/2009,16:54,313350,691976,N,December,2009
23/12/2009 01:45,23/12/2009,01:45,313350,691976,N,December,2009
23/12/2009 15:48,23/12/2009,15:48,313350,691976,N,December,2009
24/12/2009 06:08,24/12/2009,06:08,313350,691976,N,December,2009
24/12/2009 11:47,24/12/2009,11:47,313350,691976,N,December,2009
24/12/2009 17:21,24/12/2009,17:21,313350,691976,N,December,2009
24/12/2009 21:10,24/12/2009,21:10,313350,691976,N,December,2009
24/12/2009 23:11,24/12/2009,23:11,313350,691976,N,December,2009
25/12/2009 11:35,25/12/2009,11:35,313350,691976,N,December,2009
26/12/2009 02:40,26/12/2009,02:40,313350,691976,N,December,2009
27/12/2009 01:54,27/12/2009,01:54,313350,691976,N,December,2009
27/12/2009 09:06,27/12/2009,09:06,313350,691976,N,December,2009
27/12/2009 12:21,27/12/2009,12:21,313350,691976,N,December,2009
27/12/2009 12:38,27/12/2009,12:38,313350,691976,N,December,2009
