CAM,DATE.TIME,EVENT.ID,TYPE,FAF.SCENT
C,09/03/2012 04:56,F1.588,I,0
R,09/03/2012 04:56,F1.588,I,7
R,24/10/2010 02:11,F1.1416,U,4
C,16/03/2014 01:50,F1.218,I,17
C,29/03/2014 19:49,F1.15,O,0
C,16/03/2013 06:37,F1.508,I,14
R,16/03/2013 06:37,F1.508,I,17
C,19/03/2011 06:16,F1.822,I,3
R,20/03/2014 18:26,F1.230,I,28
C,23/04/2013 04:11,F1.439,O,16
C,02/03/2012 03:03,F1.585,I,9
C,05/06/2014 02:30,F1.275,O,6
C,11/04/2011 00:27,F1.813,I,4
C,11/04/2011 02:02,F1.813,I,19
R,11/03/2011 06:14,F1.856,I,12
C,21/02/2014 05:50,F1.266,O,20
C,08/05/2015 04:09,F1.1852,O,29
C,04/05/2013 19:08,F1.454,O,16
R,26/03/2014 05:46,F1.7,I,5
R,25/04/2014 04:20,F1.85,I,6
R,12/03/2011 05:42,F1.860,I,17
R,24/02/2012 20:45,F1.581,I,10
C,23/06/2012 22:06,F1.659,I,10
C,20/05/2015 03:45,F1.1879,I,2
C,02/03/2013 18:57,F1.1663,O,21
R,08/04/2014 19:17,F1.36,O,13
R,13/03/2011 22:44,F1.869,I,13
C,03/03/2011 06:02,F1.883,I,0
C,20/01/2013 07:07,F1.463,I,0
R,18/02/2013 04:59,F1.511,I,25
C,31/03/2012 22:15,F1.611,O,0
R,12/06/2012 03:45,F1.648,I,7
C,19/11/2013 01:43,F1.352,I,0
C,16/02/2013 06:37,F1.509,I,13
C,16/02/2013 18:11,F1.509,O,22
C,26/04/2010 20:09,F1.1309,O,0
C,28/12/2009 04:58,F1.1087,I,0
C,10/04/2011 02:14,F1.809,O,10
C,03/06/2010 05:03,F1.1366,I,2
C,17/05/2014 08:56,F1.78,O,1
C,07/01/2010 05:45,F1.1130,I,0
R,19/04/2012 04:25,F1.615,I,17
C,19/04/2012 17:39,F1.615,O,5
C,19/04/2013 19:12,F1.429,O,9
C,25/04/2015 22:24,F1.1826,I,4
C,13/03/2014 06:32,F1.212,I,3
C,08/04/2010 05:01,F1.1329,I,1
C,31/01/2012 22:23,F1.545,I,9
C,31/01/2012 22:24,F1.545,O,0
C,03/03/2013 04:09,F1.1665,I,18
C,16/02/2013 06:37,F1.508,I,13
C,21/04/2010 04:02,F1.1302,I,5
R,07/05/2014 01:24,F1.62,I,14
C,11/02/2012 21:45,F1.568,I,3
C,01/08/2015 07:01,F1.1913,I,0
C,06/03/2014 01:03,F1.167,I,16
C,04/05/2013 19:08,F1.454,O,18
C,26/06/2012 19:40,F1.660,O,8
R,23/01/2014 06:56,F1.158,I,6
R,22/01/2013 17:11,F1.471,O,13
C,19/04/2013 19:12,F1.428,O,11
R,27/03/2012 02:55,F1.605,I,23
R,26/05/2012 02:17,F1.640,I,25
C,17/03/2010 06:11,F1.1358,I,1
C,27/05/2010 04:02,F1.1406,I,5
C,03/05/2011 19:50,F1.764,O,3
R,19/03/2014 05:37,F1.226,I,17
C,25/01/2012 01:29,F1.539,I,7
