CLIP.ID,CAM,DATE.TIME,EVENT.ID,TYPE,PRIM.SEX,FIF.SEC.SEX,SEX.CON,SEX,FAF.SPRAINT,FAF.URINATION,FAF.SCENT,FAF.VOCAL,COM.FF.FB,COM.FB.TA,COM.POST.TA,COM.FF.FB.TA
8,C,09/03/2012 04:56,F1.588,I,2,2,2,M,0,NA,0,10,NA,0,NA,NA
13,R,30/03/2014 05:29,F1.16,I,9,9,2,M,NA,NA,NA,NA,NA,6,4,NA
20,C,19/03/2011 03:27,F1.819,O,6,15,2,F,NA,NA,NA,NA,2,4,NA,4
23,R,09/04/2014 01:33,F1.38,U,21,21,0,M,NA,NA,NA,NA,20,5,5,20
39,C,18/04/2011 05:51,F1.779,I,11,11,2,M,NA,NA,NA,NA,0,0,9,0
45,C,18/03/2012 06:18,F1.593,I,24,24,1,F,NA,NA,NA,NA,2,10,NA,10
52,C,10/11/2013 21:04,F1.376,I,1,1,2,M,NA,NA,NA,NA,NA,0,0,NA
54,C,17/04/2011 20:08,F1.774,O,26,26,2,F,NA,NA,NA,NA,3,26,26,26
60,C,16/03/2014 01:50,F1.218,I,9,17,1,F,24,17,17,NA,5,3,3,5
65,C,14/04/2015 23:14,F1.1809,O,4,4,2,F,NA,NA,NA,22,NA,0,NA,NA
74,C,27/01/2013 05:58,F1.489,I,3,3,1,F,NA,NA,NA,NA,3,0,0,3
78,R,21/02/2011 19:57,F1.1014,O,22,22,2,M,NA,NA,NA,NA,5,16,NA,16
79,C,06/03/2014 06:10,F1.170,I,0,0,2,F,NA,NA,NA,NA,NA,0,0,NA
85,C,12/12/2012 00:18,F1.733,I,11,11,2,M,NA,NA,NA,NA,NA,0,0,NA
90,C,07/03/2013 05:29,F1.1670,I,4,4,1,F,NA,NA,NA,NA,NA,1,1,NA
103,R,16/03/2013 06:37,F1.508,I,18,18,2,F,17,NA,17,NA,10,0,3,10
107,R,20/01/2015 06:23,F1.1752,I,1,1,2,M,NA,NA,NA,NA,NA,0,0,NA
108,C,20/01/2015 17:27,F1.1752,O,0,0,2,M,NA,NA,NA,NA,NA,0,0,NA
110,R,01/04/2014 21:00,F1.21,I,12,12,2,M,NA,NA,NA,NA,NA,3,3,NA
114,C,09/06/2012 16:34,F1.646,U,9,9,1,F,NA,NA,NA,NA,9,9,9,9
116,C,20/03/2015 05:52,F1.1774,I,2,2,2,F,NA,NA,NA,NA,NA,0,0,NA
121,C,20/02/2014 12:08,F1.258,I,5,5,1,F,NA,NA,NA,NA,NA,0,0,NA
125,C,19/03/2011 06:16,F1.822,I,5,5,1,F,NA,3,3,NA,NA,5,5,NA
129,C,17/12/2014 06:36,F1.715,I,2,2,1,F,NA,NA,NA,21,27,0,0,27
133,C,11/12/2013 07:30,F1.340,I,1,1,1,F,NA,NA,NA,NA,NA,0,0,NA
138,C,19/12/2013 10:41,F1.348,I,0,0,1,F,NA,NA,NA,NA,NA,NA,0,NA
142,C,20/03/2014 18:26,F1.230,O,1,1,2,M,NA,NA,NA,4,0,1,NA,1
157,C,02/03/2012 03:03,F1.585,I,11,11,2,F,NA,9,9,25,NA,8,NA,NA
167,C,11/04/2011 02:02,F1.813,I,3,3,2,F,NA,19,19,NA,6,0,0,6
181,R,24/02/2015 23:32,F1.1711,I,5,5,1,F,NA,NA,NA,NA,NA,3,3,NA
184,C,21/08/2012 22:06,F1.668,I,3,3,1,F,NA,NA,NA,13,NA,2,2,NA
189,C,25/01/2015 05:59,F1.1761,I,0,0,2,M,NA,NA,NA,NA,NA,NA,0,NA
192,C,21/02/2014 05:50,F1.266,O,4,4,2,M,20,NA,20,NA,0,0,NA,0
196,C,08/05/2015 04:05,F1.1852,I,3,3,1,F,NA,NA,NA,10,NA,2,2,NA
200,C,04/05/2013 19:08,F1.454,O,19,19,1,F,16,NA,16,NA,14,15,15,15
,C,15/01/2012 17:39,F1.526,O,0,,,F,,,,,,,,
,R,23/12/2014 06:05,F1.719,I,3,,,M,,,,,,,,
,C,13/03/2013 17:30,F1.1678,O,0,,,F,,,,,,,,
,C,19/03/2011 06:16,F1.822,I,10,,,M,,,,,,,,
,C,10/02/2014 04:28,F1.137,I,4,,,M,,,,,,,,
,R,04/03/2014 07:16,F1.164,I,9,,,M,,,,,,,,
,C,19/04/2012 04:25,F1.614,I,5,,,F,,,,,,,,
,C,15/03/2011 06:03,F1.832,I,11,,,M,,,,,,,,
,R,04/05/2012 03:57,F1.626,I,15,,,M,,,,,,,,
,C,03/03/2014 19:07,F1.163,I,1,,,M,,,,,,,,
,R,02/02/2013 06:01,F1.493,I,4,,,M,,,,,,,,
,C,20/02/2012 20:38,F1.579,I,5,,,F,,,,,,,,
,C,23/12/2014 06:05,F1.719,I,2,,,M,,,,,,,,
,R,10/02/2014 04:28,F1.137,I,14,,,M,,,,,,,,
,C,08/05/2015 22:33,F1.1854,I,7,,,M,,,,,,,,
,C,27/03/2015 05:03,F1.1786,I,2,,,Nam,,,,,,,,
,R,04/05/2012 03:57,F1.626,I,15,,,M,,,,,,,,
,C,08/02/2013 07:07,F1.501,I,8,,,M,,,,,,,,
,C,02/02/2013 06:01,F1.493,I,4,,,M,,,,,,,,
,R,16/02/2013 18:10,,O,2,,,F,,,,,,,,
,C,06/12/2013 05:39,F1.331,O,11,,,M,,,,,,,,
,R,22/01/2014 07:39,,I,3,,,M,,,,,,,,
,C,02/05/2013 03:28,F1.452,I,1,,,M,,,,,,,,
,C,24/12/2013 17:32,,O,4,,,M,,,,,,,,
